iter	Passed	Remaining
0	9	9445
1	16	8378
2	23	7938
3	31	7903
4	39	7835
5	46	7665
6	53	7578
7	60	7472
8	67	7465
9	74	7412
10	82	7441
11	94	7817
12	102	7772
13	109	7707
14	116	7655
15	123	7581
16	130	7517
17	136	7454
18	143	7403
19	150	7377
20	156	7309
21	163	7257
22	169	7216
23	180	7334
24	203	7948
25	215	8083
26	232	8374
27	243	8451
28	252	8451
29	260	8438
30	270	8440
31	278	8433
32	288	8440
33	296	8433
34	304	8396
35	312	8361
36	324	8454
37	334	8456
38	340	8397
39	347	8341
40	355	8313
41	362	8262
42	370	8241
43	379	8240
44	387	8233
45	396	8223
46	404	8193
47	411	8159
48	418	8126
49	426	8111
50	435	8101
51	444	8095
52	452	8081
53	459	8049
54	467	8030
55	474	7996
56	481	7965
57	488	7932
58	496	7911
59	504	7901
60	511	7867
61	519	7852
62	525	7813
63	532	7790
64	540	7779
65	547	7752
66	554	7719
67	560	7684
68	568	7664
69	575	7640
70	582	7625
71	591	7621
72	598	7603
73	605	7578
74	612	7552
75	619	7527
76	626	7506
77	632	7482
78	639	7460
79	646	7433
80	652	7406
81	659	7383
82	666	7358
83	673	7338
84	679	7317
85	685	7285
86	692	7263
87	698	7236
88	704	7214
89	711	7196
90	718	7172
91	725	7156
92	732	7139
93	739	7125
94	745	7106
95	753	7090
96	760	7078
97	767	7065
98	775	7056
99	782	7044
100	789	7026
101	796	7015
102	803	7000
103	811	6988
104	818	6975
105	825	6963
106	833	6956
107	841	6951
108	849	6944
109	857	6937
110	865	6929
111	872	6919
112	879	6906
113	886	6892
114	894	6881
115	901	6868
116	907	6851
117	915	6840
118	922	6828
119	929	6814
120	936	6804
121	944	6794
122	951	6784
123	958	6771
124	965	6758
125	972	6747
126	980	6738
127	987	6728
128	995	6719
129	1001	6705
130	1009	6693
131	1016	6681
132	1023	6673
133	1031	6664
134	1037	6650
135	1045	6640
136	1052	6629
137	1060	6622
138	1068	6617
139	1075	6608
140	1083	6602
141	1091	6594
142	1098	6580
143	1105	6571
144	1112	6562
145	1120	6552
146	1127	6542
147	1135	6534
148	1143	6528
149	1149	6514
150	1157	6505
151	1164	6494
152	1171	6483
153	1178	6476
154	1186	6466
155	1193	6456
156	1200	6447
157	1208	6438
158	1215	6427
159	1225	6431
160	1232	6421
161	1239	6411
162	1245	6397
163	1252	6384
164	1258	6370
165	1265	6357
166	1271	6343
167	1278	6332
168	1285	6322
169	1293	6315
170	1300	6302
171	1306	6289
172	1313	6277
173	1319	6265
174	1326	6255
175	1333	6243
176	1340	6232
177	1347	6221
178	1354	6212
179	1361	6201
180	1368	6191
181	1375	6182
182	1382	6173
183	1390	6167
184	1399	6166
185	1407	6161
186	1415	6156
187	1423	6147
188	1430	6137
189	1438	6132
190	1445	6122
191	1452	6113
192	1458	6099
193	1466	6091
194	1473	6081
195	1479	6069
196	1486	6058
197	1492	6045
198	1499	6034
199	1506	6024
200	1513	6014
201	1519	6003
202	1526	5993
203	1533	5982
204	1539	5970
205	1546	5960
206	1552	5949
207	1559	5938
208	1566	5928
209	1572	5915
210	1579	5904
211	1585	5894
212	1591	5881
213	1599	5876
214	1607	5868
215	1614	5860
216	1621	5850
217	1628	5841
218	1635	5833
219	1642	5823
220	1649	5813
